t,date,yellow,green,all_taxi,gett,juno,lyft,uber,via,all_tnc,rain,snow,WoY,DoW,MoY,M_Y,Y,collisions
1,1/1/15,382014,62943,444957,0,0,0,55383,0,55383,0,0,0,4,1,1.15,2015,395
2,1/2/15,345296,43410,388706,0,0,0,38469,0,38469,0,0,0,5,1,1.15,2015,442
3,1/3/15,406769,53866,460635,0,0,0,57383,0,57383,0.71,0,0,6,1,1.15,2015,456
4,1/4/15,328848,41602,370450,0,0,0,39998,0,39998,0.3,0,1,0,1,1.15,2015,381
5,1/5/15,363454,41923,405377,0,0,0,41858,0,41858,0,0,1,1,1,1.15,2015,498
6,1/6/15,384324,40646,424970,0,0,0,51407,0,51407,0.05,1,1,2,1,1.15,2015,777
7,1/7/15,429653,47802,477455,0,0,0,60905,0,60905,0,0,1,3,1,1.15,2015,538
8,1/8/15,450920,47791,498711,0,0,0,70034,0,70034,0,0,1,4,1,1.15,2015,573
9,1/9/15,447947,53591,501538,0,0,0,69035,0,69035,0.07,1.5,1,5,1,1.15,2015,751
10,1/10/15,515540,64340,579880,0,0,0,77031,0,77031,0,0,1,6,1,1.15,2015,481
11,1/11/15,419629,50359,469988,0,0,0,56011,0,56011,0,0,2,0,1,1.15,2015,341
12,1/12/15,396367,40867,437234,0,0,0,56674,0,56674,0.36,0,2,1,1,1.15,2015,580
13,1/13/15,448517,45229,493746,0,0,0,62227,0,62227,0,0,2,2,1,1.15,2015,613
14,1/14/15,442656,44394,487050,0,0,0,62083,0,62083,0,0,2,3,1,1.15,2015,506
15,1/15/15,451186,47962,499148,0,0,0,65473,0,65473,0,0,2,4,1,1.15,2015,548
16,1/16/15,478124,59926,538050,0,0,0,71160,0,71160,0,0,2,5,1,1.15,2015,563
17,1/17/15,476827,64628,541455,0,0,0,72071,0,72071,0,0,2,6,1,1.15,2015,495
18,1/18/15,427042,55068,482110,0,0,0,71112,0,71112,2.1,0,3,0,1,1.15,2015,961
19,1/19/15,342795,35777,378572,0,0,0,44958,0,44958,0,0,3,1,1,1.15,2015,496
20,1/20/15,405581,40914,446495,0,0,0,53777,0,53777,0,0,3,2,1,1.15,2015,500
21,1/21/15,431486,43276,474762,0,0,0,57984,0,57984,0,0,3,3,1,1.15,2015,495
22,1/22/15,452108,46260,498368,0,0,0,64301,0,64301,0,0,3,4,1,1.15,2015,508
23,1/23/15,472440,54857,527297,0,0,0,70457,0,70457,0,0,3,5,1,1.15,2015,598
24,1/24/15,460505,58631,519136,0,0,0,79323,0,79323,0.72,3.6,3,6,1,1.15,2015,428
25,1/25/15,407579,52950,460529,0,0,0,56782,0,56782,0,0,4,0,1,1.15,2015,406
26,1/26/15,230255,29869,260124,0,0,0,42606,0,42606,0.48,5.5,4,1,1,1.15,2015,484
27,1/27/15,135500,15406,150906,0,0,0,24855,0,24855,0.36,4.3,4,2,1,1.15,2015,188
28,1/28/15,380192,42508,422700,0,0,0,59271,0,59271,0,0,4,3,1,1.15,2015,458
29,1/29/15,431985,47965,479950,0,0,0,67743,0,67743,0.02,0,4,4,1,1.15,2015,519
30,1/30/15,483380,62944,546324,0,0,0,82245,0,82245,0.06,1,4,5,1,1.15,2015,622
31,1/31/15,520067,70797,590864,0,0,0,90570,0,90570,0,0,4,6,1,1.15,2015,526
32,2/1/15,423113,58157,481270,0,0,0,75397,0,75397,0.03,0.3,5,0,2,2.15,2015,361
33,2/2/15,336849,42210,379059,0,0,0,67571,0,67571,1.02,5,5,1,2,2.15,2015,680
34,2/3/15,421128,48291,469419,0,0,0,68839,0,68839,0,0,5,2,2,2.15,2015,740
35,2/4/15,415624,47368,462992,0,0,0,65533,0,65533,0,0,5,3,2,2.15,2015,585
36,2/5/15,459717,55008,514725,0,0,0,79367,0,79367,0,0,5,4,2,2.15,2015,569
37,2/6/15,476995,62135,539130,0,0,0,84257,0,84257,0,0,5,5,2,2.15,2015,652
38,2/7/15,485504,67182,552686,0,0,0,79737,0,79737,0.02,0,5,6,2,2.15,2015,449
39,2/8/15,410477,56341,466818,0,0,0,61819,0,61819,0,0,6,0,2,2.15,2015,394
40,2/9/15,381114,43505,424619,0,0,0,60973,0,60973,0.09,0,6,1,2,2.15,2015,547
41,2/10/15,424564,45711,470275,0,0,0,63702,0,63702,0.01,0.1,6,2,2,2.15,2015,571
42,2/11/15,447258,49009,496267,0,0,0,71165,0,71165,0,0,6,3,2,2.15,2015,610
43,2/12/15,463682,54720,518402,0,0,0,81781,0,81781,0,0,6,4,2,2.15,2015,526
44,2/13/15,486241,70191,556432,0,0,0,96251,0,96251,0,0,6,5,2,2.15,2015,757
45,2/14/15,501397,76426,577823,0,0,0,98583,0,98583,0.02,0.9,6,6,2,2.15,2015,436
46,2/15/15,459094,64362,523456,0,0,0,87864,0,87864,0,0,7,0,2,2.15,2015,454
47,2/16/15,412835,46933,459768,0,0,0,70789,0,70789,0,0,7,1,2,2.15,2015,402
48,2/17/15,394363,41800,436163,0,0,0,71736,0,71736,0.14,3.3,7,2,2,2.15,2015,620
49,2/18/15,436607,48362,484969,0,0,0,70991,0,70991,0,0,7,3,2,2.15,2015,626
50,2/19/15,477678,59130,536808,0,0,0,87213,0,87213,0,0,7,4,2,2.15,2015,515
51,2/20/15,498957,64721,563678,0,0,0,99126,0,99126,0,0,7,5,2,2.15,2015,621
52,2/21/15,455297,64136,519433,0,0,0,96839,0,96839,0.61,3,7,6,2,2.15,2015,517
53,2/22/15,399059,53861,452920,0,0,0,65217,0,65217,0.1,1,8,0,2,2.15,2015,519
54,2/23/15,431831,53011,484842,0,0,0,69985,0,69985,0,0,8,1,2,2.15,2015,574
55,2/24/15,448513,50161,498674,0,0,0,77797,0,77797,0,0,8,2,2,2.15,2015,580
56,2/25/15,444233,50958,495191,0,0,0,73475,0,73475,0,0,8,3,2,2.15,2015,628
57,2/26/15,471732,56717,528449,0,0,0,82092,0,82092,0,0,8,4,2,2.15,2015,539
58,2/27/15,487022,68585,555607,0,0,0,87250,0,87250,0,0,8,5,2,2.15,2015,703
59,2/28/15,499637,75839,575476,0,0,0,86691,0,86691,0,0,8,6,2,2.15,2015,538
60,3/1/15,385267,53354,438621,0,0,0,70839,0,70839,0.52,4.8,9,0,3,3.15,2015,693
61,3/2/15,388548,46653,435201,0,0,0,57460,0,57460,0,0,9,1,3,3.15,2015,650
62,3/3/15,397691,51223,448914,0,0,0,75048,0,75048,0.67,1.8,9,2,3,3.15,2015,631
63,3/4/15,435759,51819,487578,0,0,0,71931,0,71931,0.25,0,9,3,3,3.15,2015,574
64,3/5/15,366435,42207,408642,0,0,0,77446,0,77446,0.76,7.5,9,4,3,3.15,2015,830
65,3/6/15,446842,63909,510751,0,0,0,83134,0,83134,0,0,9,5,3,3.15,2015,939
66,3/7/15,504246,73297,577543,0,0,0,81468,0,81468,0,0,9,6,3,3.15,2015,578
67,3/8/15,411917,57377,469294,0,0,0,61824,0,61824,0,0,10,0,3,3.15,2015,464
68,3/9/15,392009,44832,436841,0,0,0,53920,0,53920,0.01,0,10,1,3,3.15,2015,661
69,3/10/15,413949,51179,465128,0,0,0,72185,0,72185,0.46,0,10,2,3,3.15,2015,584
70,3/11/15,428366,50252,478618,0,0,0,65315,0,65315,0.01,0,10,3,3,3.15,2015,565
71,3/12/15,461719,54166,515885,0,0,0,74039,0,74039,0,0,10,4,3,3.15,2015,586
72,3/13/15,476936,64178,541114,0,0,0,79272,0,79272,0,0,10,5,3,3.15,2015,609
73,3/14/15,496525,71314,567839,0,0,0,90956,0,90956,0.81,0,10,6,3,3.15,2015,507
74,3/15/15,418778,60306,479084,0,0,0,63421,0,63421,0,0,11,0,3,3.15,2015,459
75,3/16/15,374820,44450,419270,0,0,0,54824,0,54824,0,0,11,1,3,3.15,2015,529
76,3/17/15,413376,50346,463722,0,0,0,62886,0,62886,0.02,0,11,2,3,3.15,2015,528
77,3/18/15,452981,51635,504616,0,0,0,70384,0,70384,0,0,11,3,3,3.15,2015,547
78,3/19/15,451904,52935,504839,0,0,0,75839,0,75839,0,0,11,4,3,3.15,2015,582
79,3/20/15,458225,61968,520193,0,0,0,95273,0,95273,0.4,4.5,11,5,3,3.15,2015,570
80,3/21/15,468108,69231,537339,0,0,0,80745,0,80745,0,0,11,6,3,3.15,2015,507
81,3/22/15,429016,62057,491073,0,0,0,69337,0,69337,0,0,12,0,3,3.15,2015,432
82,3/23/15,390353,46717,437070,0,0,0,60498,0,60498,0,0,12,1,3,3.15,2015,586
83,3/24/15,412152,45811,457963,0,0,0,64400,0,64400,0,0,12,2,3,3.15,2015,601
84,3/25/15,427026,50370,477396,0,0,0,73953,0,73953,0.05,0,12,3,3,3.15,2015,538
85,3/26/15,427632,53254,480886,0,0,0,78552,0,78552,0.32,0,12,4,3,3.15,2015,525
86,3/27/15,465493,63319,528812,0,0,0,84977,0,84977,0.27,0,12,5,3,3.15,2015,532
87,3/28/15,510351,76226,586577,0,0,0,92527,0,92527,0,0,12,6,3,3.15,2015,459
88,3/29/15,424267,61984,486251,0,0,0,75648,0,75648,0,0,13,0,3,3.15,2015,505
89,3/30/15,391004,45070,436074,0,0,0,62780,0,62780,0,0,13,1,3,3.15,2015,556
90,3/31/15,429914,51135,481049,0,0,0,78893,0,78893,0.17,0,13,2,3,3.15,2015,628
91,4/1/15,440246,51943,492189,0,0,2282,69223,4771,76276,0,0,13,3,4,4.15,2015,648
92,4/2/15,444300,55928,500228,0,0,2613,74069,4275,80957,0,0,13,4,4,4.15,2015,653
93,4/3/15,444077,60434,504511,0,0,3130,75983,3210,82323,0.04,0,13,5,4,4.15,2015,491
94,4/4/15,440170,68373,508543,0,0,3604,69189,0,72793,0.01,0,13,6,4,4.15,2015,507
95,4/5/15,377462,58745,436207,0,0,3125,58357,0,61482,0,0,14,0,4,4.15,2015,422
96,4/6/15,375754,43483,419237,0,0,1937,53565,3978,59480,0,0,14,1,4,4.15,2015,510
97,4/7/15,425909,47404,473313,0,0,2445,68079,4753,75277,0.15,0,14,2,4,4.15,2015,452
98,4/8/15,443492,50396,493888,0,0,2539,72023,4835,79397,0,0,14,3,4,4.15,2015,457
99,4/9/15,460476,51804,512280,0,0,2589,77520,4551,84660,0,0,14,4,4,4.15,2015,452
100,4/10/15,468077,59253,527330,0,0,2908,81439,4294,88641,0.17,0,14,5,4,4.15,2015,486
101,4/11/15,473730,72944,546674,0,0,3664,82547,0,86211,0,0,14,6,4,4.15,2015,576
102,4/12/15,407342,60888,468230,0,0,3136,67726,0,70862,0,0,15,0,4,4.15,2015,443
103,4/13/15,377158,44318,421476,0,0,1824,56655,5086,63565,0,0,15,1,4,4.15,2015,554
104,4/14/15,411892,44103,455995,0,0,1988,63393,5856,71237,0.01,0,15,2,4,4.15,2015,542
105,4/15/15,427092,48469,475561,0,0,2381,66534,5476,74391,0,0,15,3,4,4.15,2015,595
106,4/16/15,452157,53163,505320,0,0,2516,78808,5608,86932,0,0,15,4,4,4.15,2015,560
107,4/17/15,469283,60053,529336,0,0,2836,83855,5322,92013,0.08,0,15,5,4,4.15,2015,679
108,4/18/15,500928,75616,576544,0,0,3651,94196,0,97847,0,0,15,6,4,4.15,2015,605
109,4/19/15,445785,64273,510058,0,0,3288,78107,0,81395,0,0,16,0,4,4.15,2015,471
110,4/20/15,397259,46724,443983,0,0,2400,78076,6639,87115,1.37,0,16,1,4,4.15,2015,630
111,4/21/15,426137,44991,471128,0,0,1998,68712,6308,77018,0.2,0,16,2,4,4.15,2015,645
112,4/22/15,432491,50457,482948,0,0,2293,82124,6185,90602,0.05,0,16,3,4,4.15,2015,568
113,4/23/15,463486,55777,519263,0,0,2435,92110,5719,100264,0,0,16,4,4,4.15,2015,612
114,4/24/15,474068,65736,539804,0,0,2912,99688,5318,107918,0,0,16,5,4,4.15,2015,676
115,4/25/15,489474,75469,564943,0,0,3717,106270,0,109987,0,0,16,6,4,4.15,2015,592
116,4/26/15,424608,62190,486798,0,0,3121,88673,0,91794,0,0,17,0,4,4.15,2015,477
117,4/27/15,393526,44694,438220,0,0,2117,64783,6184,73084,0,0,17,1,4,4.15,2015,558
118,4/28/15,411771,44227,455998,0,0,2242,68863,6378,77483,0,0,17,2,4,4.15,2015,613
119,4/29/15,427507,49132,476639,0,0,2425,75940,6415,84780,0,0,17,3,4,4.15,2015,679
