date,trend,pos_gas,big_gas,diff_gas,abs_gas,ln_gas,ln_tnc,ln_taxi,lag_ln_tnc,lag_ln_taxi,ln_collisions,ln_stocks,int_rain_collisions,int_snow_collisions,rain,snow,holiday,temp,day.f2,day.f3,day.f4,day.f5,week.f2,week.f3,week.f4,week.f5,week.f6,week.f7,week.f8,week.f9,week.f10,week.f11,week.f12,week.f13,week.f14,week.f15,week.f16,week.f17,week.f18,week.f19,week.f20,week.f21,week.f22,week.f23,week.f24,week.f25,week.f26,week.f27,week.f28,week.f29,week.f30,week.f31,week.f32,week.f33,week.f34,week.f35,week.f36,week.f37,week.f38,week.f39,week.f40,week.f41,week.f42,week.f43,week.f44,week.f45,week.f46,week.f47,week.f48,week.f49,week.f50,week.f51,week.f52,week.f53
1/2/15,1,1,1,0.033,0.033,0.400117502,10.557608,12.87057855,NA,12.87057855,6.091309882,14.60828042,0,0,0,0,1,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/5/15,2,0,1,-0.058,0.058,0.360467742,10.64203822,12.91257278,10.557608,12.87057855,6.210600077,14.82637411,0,0,0,0,0,7.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/15,3,0,1,-0.045,0.045,0.328584064,10.84752963,12.95977386,10.64203822,12.91257278,6.65544035,14.97364443,0.332772018,6.65544035,0.05,1,0,-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/15,4,0,1,-0.037,0.037,0.301584978,11.01707055,13.07622519,10.84752963,12.95977386,6.28785856,14.80220831,0,0,0,0,0,-17.28571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/15,5,1,0,0.018,0.018,0.31481074,11.15673612,13.11978205,11.01707055,13.07622519,6.350885717,14.75419741,0,0,0,0,0,-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/15,6,0,1,-0.034,0.034,0.289680075,11.1423689,13.12543466,11.15673612,13.11978205,6.621405652,14.72025043,0.463498396,9.932108478,0.07,1.5,0,-3.428571429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/15,7,0,1,-0.053,0.053,0.249201086,10.94507083,12.9882238,11.1423689,13.12543466,6.363028104,14.75243534,2.290690117,0,0.36,0,0,9.285714286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/13/15,8,1,0,0.001,0.001,0.249980205,11.03854427,13.10977649,10.94507083,12.9882238,6.418364936,14.95819523,0,0,0,0,0,7.714285714,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/15,9,1,1,0.077,0.077,0.308219724,11.03622748,13.09612207,11.03854427,13.10977649,6.226536669,14.93983575,0,0,0,0,0,1.714285714,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/15/15,10,0,1,-0.044,0.044,0.275356423,11.08939312,13.12065792,11.03622748,13.09612207,6.306275287,14.90796861,0,0,0,0,0,3.428571429,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
